   Elapsed time	    ECG	    ECG
          1.248	 -0.011	  0.146
          1.252	 -0.011	  0.150
          1.256	 -0.010	  0.150
          1.260	 -0.009	  0.147
          1.264	 -0.009	  0.141
          1.268	 -0.013	  0.138
          1.272	 -0.014	  0.136
          1.276	 -0.013	  0.133
          1.280	 -0.015	  0.133
          1.284	 -0.015	  0.130
          1.288	 -0.015	  0.130
          1.292	 -0.015	  0.126
          1.296	 -0.016	  0.120
          1.300	 -0.018	  0.114
          1.304	 -0.021	  0.110
          1.308	 -0.019	  0.111
          1.312	 -0.020	  0.109
          1.316	 -0.021	  0.109
          1.320	 -0.026	  0.107
          1.324	 -0.029	  0.105
          1.328	 -0.025	  0.104
          1.332	 -0.030	  0.100
          1.336	 -0.031	  0.099
          1.340	 -0.033	  0.101
          1.344	 -0.030	  0.101
          1.348	 -0.030	  0.099
          1.352	 -0.030	  0.096
          1.356	 -0.030	  0.092
          1.360	 -0.033	  0.092
          1.364	 -0.035	  0.092
          1.368	 -0.039	  0.092
          1.372	 -0.039	  0.087
          1.376	 -0.039	  0.084
          1.380	 -0.035	  0.084
          1.384	 -0.034	  0.081
          1.388	 -0.033	  0.083
          1.392	 -0.035	  0.084
          1.396	 -0.039	  0.084
          1.400	 -0.041	  0.080
          1.404	 -0.043	  0.079
          1.408	 -0.043	  0.077
          1.412	 -0.040	  0.076
          1.416	 -0.041	  0.077
          1.420	 -0.037	  0.079
          1.424	 -0.043	  0.079
          1.428	 -0.041	  0.079
          1.432	 -0.045	  0.077
          1.436	 -0.046	  0.076
          1.440	 -0.048	  0.069
          1.444	 -0.048	  0.069
          1.448	 -0.044	  0.070
          1.452	 -0.045	  0.071
          1.456	 -0.043	  0.069
          1.460	 -0.044	  0.065
          1.464	 -0.039	  0.065
          1.468	 -0.034	  0.062
          1.472	 -0.034	  0.060
          1.476	 -0.039	  0.056
          1.480	 -0.039	  0.052
          1.484	 -0.036	  0.050
          1.488	 -0.036	  0.049
          1.492	 -0.035	  0.049
          1.496	 -0.037	  0.048
          1.500	 -0.036	  0.049
          1.504	 -0.035	  0.045
          1.508	 -0.037	  0.045
          1.512	 -0.034	  0.044
          1.516	 -0.036	  0.040
          1.520	 -0.035	  0.035
          1.524	 -0.035	  0.033
          1.528	 -0.039	  0.031
          1.532	 -0.044	  0.029
          1.536	 -0.048	  0.026
          1.540	 -0.046	  0.025
          1.544	 -0.046	  0.028
          1.548	 -0.045	  0.025
          1.552	 -0.041	  0.028
          1.556	 -0.040	  0.031
          1.560	 -0.040	  0.031
          1.564	 -0.043	  0.033
          1.568	 -0.044	  0.031
          1.572	 -0.043	  0.035
          1.576	 -0.040	  0.039
          1.580	 -0.036	  0.044
          1.584	 -0.036	  0.054
          1.588	 -0.040	  0.064
          1.592	 -0.041	  0.072
          1.596	 -0.043	  0.076
          1.600	 -0.034	  0.080
          1.604	 -0.031	  0.079
          1.608	 -0.030	  0.075
          1.612	 -0.026	  0.060
          1.616	 -0.022	  0.050
          1.620	 -0.018	  0.049
          1.624	 -0.014	  0.051
          1.628	 -0.009	  0.049
          1.632	 -0.010	  0.045
          1.636	 -0.004	  0.045
          1.640	  0.006	  0.040
          1.644	  0.014	  0.037
          1.648	  0.014	  0.036
          1.652	  0.016	  0.037
          1.656	  0.025	  0.041
          1.660	  0.028	  0.045
          1.664	  0.030	  0.050
          1.668	  0.031	  0.055
          1.672	  0.036	  0.056
          1.676	  0.039	  0.052
          1.680	  0.041	  0.048
          1.684	  0.043	  0.043
          1.688	  0.039	  0.040
          1.692	  0.035	  0.037
          1.696	  0.022	  0.034
          1.700	  0.015	  0.029
          1.704	  0.005	  0.024
          1.708	 -0.001	  0.024
          1.712	 -0.007	  0.026
          1.716	 -0.011	  0.030
          1.720	 -0.009	  0.029
          1.724	 -0.018	  0.026
          1.728	 -0.020	  0.028
          1.732	 -0.021	  0.031
          1.736	 -0.016	  0.037
          1.740	 -0.011	  0.041
          1.744	 -0.007	  0.041
          1.748	  0.003	  0.025
          1.752	  0.004	 -0.035
          1.756	  0.006	 -0.119
          1.760	  0.004	 -0.195
          1.764	  0.007	 -0.242
          1.768	  0.013	 -0.280
          1.772	  0.028	 -0.312
          1.776	  0.043	 -0.318
          1.780	  0.062	 -0.319
          1.784	  0.077	 -0.304
          1.788	  0.094	 -0.290
          1.792	  0.111	 -0.268
          1.796	  0.135	 -0.256
          1.800	  0.179	 -0.249
          1.804	  0.224	 -0.229
          1.808	  0.271	 -0.207
          1.812	  0.296	 -0.170
          1.816	  0.307	 -0.135
          1.820	  0.312	 -0.092
          1.824	  0.302	 -0.049
          1.828	  0.274	  0.001
          1.832	  0.189	  0.040
          1.836	  0.089	  0.061
          1.840	 -0.016	  0.071
          1.844	 -0.105	  0.079
          1.848	 -0.147	  0.080
          1.852	 -0.155	  0.084
          1.856	 -0.139	  0.085
          1.860	 -0.121	  0.087
          1.864	 -0.113	  0.089
          1.868	 -0.101	  0.092
          1.872	 -0.090	  0.099
          1.876	 -0.079	  0.102
          1.880	 -0.071	  0.105
          1.884	 -0.066	  0.110
          1.888	 -0.066	  0.114
          1.892	 -0.070	  0.115
          1.896	 -0.071	  0.116
          1.900	 -0.070	  0.116
          1.904	 -0.071	  0.117
          1.908	 -0.070	  0.120
          1.912	 -0.066	  0.122
          1.916	 -0.062	  0.125
          1.920	 -0.064	  0.128
          1.924	 -0.062	  0.131
          1.928	 -0.060	  0.133
          1.932	 -0.061	  0.138
          1.936	 -0.061	  0.140
          1.940	 -0.064	  0.145
          1.944	 -0.062	  0.149
          1.948	 -0.062	  0.151
          1.952	 -0.061	  0.155
          1.956	 -0.055	  0.155
          1.960	 -0.062	  0.154
          1.964	 -0.064	  0.151
          1.968	 -0.070	  0.150
          1.972	 -0.071	  0.152
          1.976	 -0.071	  0.149
          1.980	 -0.072	  0.150
          1.984	 -0.076	  0.147
          1.988	 -0.077	  0.144
          1.992	 -0.077	  0.142
          1.996	 -0.081	  0.141
          2.000	 -0.081	  0.144
          2.004	 -0.080	  0.141
          2.008	 -0.075	  0.144
          2.012	 -0.072	  0.144
          2.016	 -0.075	  0.145
          2.020	 -0.076	  0.145
          2.024	 -0.083	  0.144
          2.028	 -0.083	  0.145
          2.032	 -0.080	  0.149
          2.036	 -0.079	  0.154
          2.040	 -0.080	  0.151
          2.044	 -0.081	  0.156
          2.048	 -0.080	  0.158
          2.052	 -0.090	  0.160
          2.056	 -0.091	  0.163
          2.060	 -0.089	  0.165
          2.064	 -0.090	  0.171
          2.068	 -0.089	  0.166
          2.072	 -0.091	  0.170
          2.076	 -0.090	  0.168
          2.080	 -0.091	  0.170
          2.084	 -0.092	  0.168
          2.088	 -0.089	  0.169
          2.092	 -0.085	  0.172
          2.096	 -0.080	  0.172
          2.100	 -0.080	  0.175
          2.104	 -0.077	  0.169
          2.108	 -0.079	  0.171
          2.112	 -0.076	  0.171
          2.116	 -0.076	  0.172
          2.120	 -0.071	  0.168
          2.124	 -0.069	  0.168
          2.128	 -0.065	  0.169
          2.132	 -0.062	  0.168
          2.136	 -0.056	  0.166
          2.140	 -0.051	  0.164
          2.144	 -0.052	  0.165
          2.148	 -0.050	  0.161
          2.152	 -0.045	  0.164
          2.156	 -0.040	  0.159
          2.160	 -0.035	  0.160
          2.164	 -0.030	  0.159
          2.168	 -0.029	  0.158
          2.172	 -0.025	  0.159
          2.176	 -0.026	  0.160
          2.180	 -0.026	  0.164
          2.184	 -0.026	  0.164
          2.188	 -0.028	  0.164
          2.192	 -0.025	  0.163
          2.196	 -0.022	  0.163
          2.200	 -0.021	  0.164
          2.204	 -0.024	  0.166
          2.208	 -0.024	  0.170
          2.212	 -0.024	  0.168
          2.216	 -0.022	  0.168
          2.220	 -0.022	  0.164
          2.224	 -0.019	  0.165
          2.228	 -0.015	  0.163
          2.232	 -0.013	  0.160
          2.236	 -0.010	  0.159
          2.240	 -0.009	  0.156
          2.244	 -0.009	  0.156
          2.248	 -0.007	  0.150
          2.252	 -0.004	  0.149
          2.256	  0.003	  0.146
          2.260	 -0.003	  0.145
          2.264	 -0.001	  0.145
          2.268	 -0.003	  0.144
          2.272	  0.003	  0.146
          2.276	  0.004	  0.141
          2.280	  0.006	  0.140
          2.284	  0.007	  0.136
          2.288	  0.009	  0.135
          2.292	  0.014	  0.135
          2.296	  0.011	  0.135
          2.300	  0.011	  0.140
          2.304	  0.010	  0.135
          2.308	  0.011	  0.134
          2.312	  0.010	  0.131
          2.316	  0.010	  0.134
          2.320	  0.014	  0.135
          2.324	  0.009	  0.138
          2.328	  0.006	  0.139
          2.332	  0.003	  0.138
          2.336	 -0.003	  0.139
          2.340	 -0.004	  0.136
          2.344	 -0.003	  0.138
          2.348	  0.000	  0.138
          2.352	 -0.007	  0.140
          2.356	 -0.007	  0.141
          2.360	 -0.007	  0.146
          2.364	 -0.006	  0.152
          2.368	 -0.005	  0.154
          2.372	 -0.006	  0.160
          2.376	 -0.006	  0.158
          2.380	 -0.010	  0.160
          2.384	 -0.009	  0.151
          2.388	 -0.007	  0.142
          2.392	 -0.004	  0.136
          2.396	 -0.001	  0.134
          2.400	  0.000	  0.135
          2.404	  0.004	  0.131
          2.408	  0.009	  0.130
          2.412	  0.015	  0.129
          2.416	  0.019	  0.134
          2.420	  0.021	  0.138
          2.424	  0.020	  0.139
          2.428	  0.020	  0.141
          2.432	  0.019	  0.144
          2.436	  0.022	  0.150
          2.440	  0.026	  0.152
          2.444	  0.030	  0.160
          2.448	  0.031	  0.161
          2.452	  0.031	  0.165
          2.456	  0.031	  0.160
          2.460	  0.030	  0.159
          2.464	  0.031	  0.154
          2.468	  0.024	  0.150
          2.472	  0.018	  0.145
          2.476	  0.011	  0.142
          2.480	  0.003	  0.144
          2.484	 -0.009	  0.141
          2.488	 -0.021	  0.140
          2.492	 -0.030	  0.135
          2.496	 -0.037	  0.135
          2.500	 -0.040	  0.135
          2.504	 -0.043	  0.131
          2.508	 -0.045	  0.131
          2.512	 -0.048	  0.128
          2.516	 -0.049	  0.125
          2.520	 -0.050	  0.119
          2.524	 -0.045	  0.113
          2.528	 -0.044	  0.107
          2.532	 -0.045	  0.107
          2.536	 -0.045	  0.105
          2.540	 -0.045	  0.105
          2.544	 -0.045	  0.102
          2.548	 -0.046	  0.098
          2.552	 -0.046	  0.092
          2.556	 -0.039	  0.090
          2.560	 -0.041	  0.091
          2.564	 -0.043	  0.095
          2.568	 -0.044	  0.099
          2.572	 -0.043	  0.094
          2.576	 -0.043	  0.055
          2.580	 -0.040	 -0.020
          2.584	 -0.039	 -0.105
          2.588	 -0.048	 -0.174
          2.592	 -0.050	 -0.220
          2.596	 -0.048	 -0.253
          2.600	 -0.035	 -0.273
          2.604	 -0.021	 -0.273
          2.608	 -0.004	 -0.266
          2.612	  0.011	 -0.254
          2.616	  0.028	 -0.241
          2.620	  0.046	 -0.220
          2.624	  0.068	 -0.201
          2.628	  0.102	 -0.180
          2.632	  0.142	 -0.160
          2.636	  0.188	 -0.135
          2.640	  0.207	 -0.100
          2.644	  0.217	 -0.065
          2.648	  0.219	 -0.020
          2.652	  0.195	  0.036
          2.656	  0.152	  0.086
          2.660	  0.071	  0.117
          2.664	 -0.021	  0.135
          2.668	 -0.101	  0.144
          2.672	 -0.159	  0.154
          2.676	 -0.171	  0.155
          2.680	 -0.165	  0.156
          2.684	 -0.146	  0.155
          2.688	 -0.135	  0.158
          2.692	 -0.129	  0.160
          2.696	 -0.122	  0.160
          2.700	 -0.117	  0.163
          2.704	 -0.113	  0.161
          2.708	 -0.111	  0.165
          2.712	 -0.105	  0.164
          2.716	 -0.106	  0.170
          2.720	 -0.106	  0.171
          2.724	 -0.106	  0.171
          2.728	 -0.105	  0.171
          2.732	 -0.104	  0.170
          2.736	 -0.101	  0.176
          2.740	 -0.099	  0.180
          2.744	 -0.099	  0.185
          2.748	 -0.104	  0.185
          2.752	 -0.106	  0.190
          2.756	 -0.106	  0.189
          2.760	 -0.102	  0.189
          2.764	 -0.102	  0.190
          2.768	 -0.105	  0.193
          2.772	 -0.104	  0.195
          2.776	 -0.100	  0.196
          2.780	 -0.100	  0.199
          2.784	 -0.101	  0.200
          2.788	 -0.101	  0.203
          2.792	 -0.098	  0.200
          2.796	 -0.098	  0.201
          2.800	 -0.098	  0.205
          2.804	 -0.100	  0.209
          2.808	 -0.100	  0.212
          2.812	 -0.104	  0.212
          2.816	 -0.106	  0.212
          2.820	 -0.107	  0.210
          2.824	 -0.106	  0.211
          2.828	 -0.102	  0.214
          2.832	 -0.102	  0.215
          2.836	 -0.106	  0.216
          2.840	 -0.107	  0.214
          2.844	 -0.110	  0.216
          2.848	 -0.111	  0.214
          2.852	 -0.113	  0.210
          2.856	 -0.113	  0.206
          2.860	 -0.117	  0.205
          2.864	 -0.117	  0.207
          2.868	 -0.117	  0.207
          2.872	 -0.120	  0.210
          2.876	 -0.125	  0.205
          2.880	 -0.126	  0.205
          2.884	 -0.121	  0.199
          2.888	 -0.126	  0.195
          2.892	 -0.125	  0.195
          2.896	 -0.122	  0.194
          2.900	 -0.124	  0.195
          2.904	 -0.124	  0.188
          2.908	 -0.130	  0.189
          2.912	 -0.130	  0.184
          2.916	 -0.129	  0.182
          2.920	 -0.124	  0.179
          2.924	 -0.124	  0.177
          2.928	 -0.122	  0.180
          2.932	 -0.116	  0.174
          2.936	 -0.114	  0.175
          2.940	 -0.110	  0.176
          2.944	 -0.107	  0.177
          2.948	 -0.104	  0.175
          2.952	 -0.101	  0.177
          2.956	 -0.098	  0.177
          2.960	 -0.091	  0.176
          2.964	 -0.090	  0.175
          2.968	 -0.089	  0.170
          2.972	 -0.091	  0.172
          2.976	 -0.085	  0.170
          2.980	 -0.083	  0.172
          2.984	 -0.080	  0.168
          2.988	 -0.081	  0.166
          2.992	 -0.083	  0.164
          2.996	 -0.081	  0.158
          3.000	 -0.083	  0.152
          3.004	 -0.083	  0.149
          3.008	 -0.083	  0.149
          3.012	 -0.080	  0.140
          3.016	 -0.080	  0.139
          3.020	 -0.080	  0.135
          3.024	 -0.080	  0.131
          3.028	 -0.081	  0.129
          3.032	 -0.081	  0.125
          3.036	 -0.080	  0.124
          3.040	 -0.077	  0.119
          3.044	 -0.074	  0.119
          3.048	 -0.076	  0.115
          3.052	 -0.077	  0.114
          3.056	 -0.081	  0.113
          3.060	 -0.079	  0.115
          3.064	 -0.079	  0.111
          3.068	 -0.079	  0.110
          3.072	 -0.079	  0.110
          3.076	 -0.075	  0.106
          3.080	 -0.070	  0.106
          3.084	 -0.069	  0.105
          3.088	 -0.070	  0.106
          3.092	 -0.068	  0.101
          3.096	 -0.071	  0.098
          3.100	 -0.071	  0.098
          3.104	 -0.069	  0.098
          3.108	 -0.065	  0.094
          3.112	 -0.062	  0.087
          3.116	 -0.065	  0.084
          3.120	 -0.068	  0.080
          3.124	 -0.070	  0.076
          3.128	 -0.069	  0.080
          3.132	 -0.069	  0.087
          3.136	 -0.070	  0.094
          3.140	 -0.068	  0.096
          3.144	 -0.065	  0.098
          3.148	 -0.066	  0.100
          3.152	 -0.070	  0.100
          3.156	 -0.065	  0.096
          3.160	 -0.064	  0.087
          3.164	 -0.059	  0.077
          3.168	 -0.055	  0.065
          3.172	 -0.052	  0.059
          3.176	 -0.051	  0.052
          3.180	 -0.050	  0.050
          3.184	 -0.040	  0.045
          3.188	 -0.036	  0.036
          3.192	 -0.033	  0.033
          3.196	 -0.031	  0.030
          3.200	 -0.029	  0.030
          3.204	 -0.028	  0.026
          3.208	 -0.024	  0.028
          3.212	 -0.021	  0.029
          3.216	 -0.021	  0.033
          3.220	 -0.019	  0.037
          3.224	 -0.016	  0.043
          3.228	 -0.013	  0.048
          3.232	 -0.007	  0.041
          3.236	 -0.004	  0.039
          3.240	 -0.005	  0.037
          3.244	 -0.010	  0.037
          3.248	 -0.016	  0.036
          3.252	 -0.026	  0.035
          3.256	 -0.034	  0.034
          3.260	 -0.045	  0.033
          3.264	 -0.058	  0.035
          3.268	 -0.068	  0.031
          3.272	 -0.072	  0.033
          3.276	 -0.074	  0.033
          3.280	 -0.077	  0.035
          3.284	 -0.076	  0.034
          3.288	 -0.075	  0.036
          3.292	 -0.076	  0.039
          3.296	 -0.076	  0.040
          3.300	 -0.075	  0.039
          3.304	 -0.071	  0.034
          3.308	 -0.071	  0.033
          3.312	 -0.075	  0.033
          3.316	 -0.076	  0.029
          3.320	 -0.077	  0.025
          3.324	 -0.079	  0.020
          3.328	 -0.080	  0.013
          3.332	 -0.079	  0.004
          3.336	 -0.079	 -0.003
          3.340	 -0.077	 -0.004
          3.344	 -0.080	 -0.003
          3.348	 -0.079	 -0.009
          3.352	 -0.075	 -0.029
          3.356	 -0.072	 -0.074
          3.360	 -0.069	 -0.145
          3.364	 -0.068	 -0.224
          3.368	 -0.070	 -0.289
          3.372	 -0.070	 -0.338
          3.376	 -0.061	 -0.369
          3.380	 -0.049	 -0.385
          3.384	 -0.030	 -0.375
          3.388	 -0.011	 -0.364
          3.392	  0.011	 -0.344
          3.396	  0.029	 -0.325
          3.400	  0.056	 -0.307
          3.404	  0.089	 -0.295
          3.408	  0.134	 -0.286
          3.412	  0.181	 -0.263
          3.416	  0.215	 -0.230
          3.420	  0.237	 -0.185
          3.424	  0.239	 -0.142
          3.428	  0.240	 -0.094
          3.432	  0.214	 -0.037
          3.436	  0.156	  0.010
          3.440	  0.068	  0.034
          3.444	 -0.031	  0.048
          3.448	 -0.119	  0.060
          3.452	 -0.171	  0.069
          3.456	 -0.185	  0.074
          3.460	 -0.175	  0.074
          3.464	 -0.160	  0.079
          3.468	 -0.150	  0.083
          3.472	 -0.144	  0.085
          3.476	 -0.136	  0.081
          3.480	 -0.128	  0.081
          3.484	 -0.119	  0.083
          3.488	 -0.120	  0.084
          3.492	 -0.119	  0.081
          3.496	 -0.119	  0.081
          3.500	 -0.116	  0.084
